procedure_id,member_id,predicted_position,confidence,explanation,run_name
2023-0226,101039,For,0.85,"Paolo Borchia is a member of Forza Italia, a centre-right party that generally supports innovation in agriculture and biotechnology. His voting record shows alignment with pro-business and pro-science positions, likely favoring the deregulation of new genomic techniques for plant breeding.",mistral-3.5
2023-0226,101585,Against,0.85,"Niels Fuglsang is a member of the Social Democrats (S&D) in the European Parliament, which has historically taken a cautious stance on new genomic techniques in agriculture, often prioritizing consumer safety and environmental concerns. His voting record aligns with skepticism toward deregulating genetically modified organisms (GMOs) and new genomic techniques, favoring stricter oversight.",mistral-3.5
2023-0226,103246,Against,0.9,"Auke Zijlstra is a member of the European Conservatives and Reformists Group (ECR) and represents the Dutch party JA21, which is known for its Eurosceptic and conservative stance. ECR and JA21 have historically opposed GMO-related legislation, favoring stricter regulations and precautionary principles over new genomic techniques in agriculture.",mistral-3.5
2023-0226,103381,Against,0.95,Terry Reintke is a Green Party MEP with a strong environmental and precautionary stance on biotechnology. She has previously opposed GMO-related legislation and advocates for strict regulation of new genomic techniques to protect biodiversity and consumer rights.,mistral-3.5
2023-0226,106936,Against,0.95,"Daniel Freund is a member of the Greens/EFA group, which strongly opposes the deregulation of new genomic techniques (NGTs) in agriculture, citing risks to biodiversity, organic farming, and consumer choice. His voting record aligns with Green Party positions favoring precautionary principles and strict regulation of GMOs.",mistral-3.5
2023-0226,107212,For,0.85,"Andrey Novakov is a member of the European People's Party (EPP), which generally supports innovation in agriculture, including new genomic techniques, to enhance food security and sustainability. As a Bulgarian MEP, he has previously aligned with EPP's pro-business and pro-technology stance, favoring deregulation of such techniques.",mistral-3.5
2023-0226,110673,Against,0.95,"Ana Miguel Pedro is a member of the Left Group (GUE/NGL) in the European Parliament, which has consistently opposed the deregulation of new genomic techniques (NGTs) in agriculture, citing concerns over environmental risks, corporate control of seeds, and the precautionary principle. Her voting record aligns with progressive and eco-socialist positions, prioritizing biodiversity and food sovereignty over biotech industry interests.",mistral-3.5
2023-0226,111412,Against,0.9,"Villy Søvndal, a member of the Socialist People's Party (SF) in Denmark, has historically opposed genetically modified organisms (GMOs) and supported strict regulations on biotechnology in agriculture. His party aligns with environmental and consumer protection concerns, likely leading him to vote against deregulating new genomic techniques in plants.",mistral-3.5
2023-0226,112744,For,0.85,"Tonino Picula, a Croatian MEP from the Social Democrats (S&D), has historically supported progressive agricultural policies and scientific innovation. The S&D group generally favors evidence-based regulation, and Picula has shown alignment with positions that balance innovation with environmental and consumer safety concerns.",mistral-3.5
2023-0226,112747,Against,0.85,"Romana Jerković is a member of the Croatian Democratic Union (HDZ) and the European People's Party (EPP). The EPP has generally shown skepticism toward new genomic techniques in agriculture, often prioritizing precautionary principles and traditional farming methods. Jerković's voting record aligns with conservative and center-right positions, which tend to oppose deregulation of genetically modified organisms (GMOs) or new genomic techniques.",mistral-3.5
