vote_id,mep_id,position
MTG-PL-2026-06-16-OJ-ITM-V-61,124795,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,124701,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,197557,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,188096,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,270261,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,197552,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,257089,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,38542,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,257026,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,214839,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,256908,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,257103,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,257010,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,197628,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,256950,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,197440,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,256876,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,88882,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,110673,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,256869,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,257066,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,256805,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,257002,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,185341,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,197690,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,197677,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,257049,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,256946,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,257160,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,197581,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,125065,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,197406,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,256937,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,208722,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,197466,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,256820,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,261796,FOR
MTG-PL-2026-06-16-OJ-ITM-V-61,239260,FOR
